id,name,longitude,latitude,cuisine,vegan,vegetarian
119,Acapulco Joe's,-86.1594085,39.7725686,mexican,no,yes
120,Bangkok Restaurant & Jazz Bar,-86.1530365,39.7696212,thai,,
121,Super China Buffet,-86.121238,39.886229,chinese,,
122,Subway,-86.119562,39.887094,sandwich,,
123,Potbelly's,-86.1572,39.768272,sandwich,yes,yes
124,Which Wich?,-86.174289,39.781077,sandwich,,
125,Toppers,-86.173905,39.781072,pizza,,
126,Subway,-86.0580312,39.9082243,sandwich,,
127,The Yard Line Bar & Grill,-86.055761,39.906469,,,
128,Nine Irish Brothers,-86.148949,39.774916,irish,,yes
129,Pizzology,-86.148481,39.775669,pizza,,
130,Subway,-86.0678897,39.8843227,sandwich,,
131,Happy Dragon,-86.0677543,39.8843226,chinese,,
132,Papa Murphy's,-86.0676547,39.8843227,pizza,,
133,Champps,-86.1593506,39.7667991,,,yes
134,Morton's The Steakhouse,-86.156529,39.766831,steak_house,,
135,Einstein Bros. Bagels,-86.0548267,39.9057078,bagel,,
136,The Rathskeller,-86.150017,39.773786,german,no,yes
137,Delhi Palace,-86.1729291,39.7796681,indian,,
138,Subway,-86.1726905,39.7799027,sandwich,,
139,Qdoba,-86.1727468,39.7798473,mexican,,
140,Au Bon Pain,-86.158249,39.767857,sandwich,yes,yes
141,Giorgio's Pizza,-86.156901,39.768371,pizza,no,yes
142,Soupremacy,-86.157028,39.768362,soup,yes,yes
143,Subway,-86.035408,39.772897,sandwich,,
144,Bob Evans,-86.03388,39.772268,american,,
145,La Hacienda,-86.238517,39.825286,mexican,,
146,The Pastry House,-86.240586,39.825151,mexican,,
147,India Palace,-86.240447,39.831706,indian,,
